Film,Film Studio/Producer(s)
Johnny Belinda,Warner Bros.
The Red Shoes,J. Arthur Rank-Archers
The Snake Pit,20th Century-Fox
The Treasure of the Sierra Madre,Warner Bros.
All the King's Men,"Columbia (Robert Rossen, producer)"
Battleground,Metro-Goldwyn-Mayer
The Heiress,Paramount
A Letter to Three Wives,20th Century-Fox
Twelve O'Clock High,20th Century-Fox
All About Eve,"20th Century-Fox (Darryl F. Zanuck, producer)"
Born Yesterday,Columbia
Father of the Bride,Metro-Goldwyn-Mayer
King Solomon's Mines,Metro-Goldwyn-Mayer
Sunset Boulevard,Paramount
An American in Paris,Arthur Freed
Decision Before Dawn,Anatole Litvak and Frank McCarthy
A Place in the Sun,George Stevens
Quo Vadis,Sam Zimbalist
A Streetcar Named Desire,Charles K. Feldman
The Greatest Show on Earth,Cecil B. DeMille
High Noon,Stanley Kramer
Ivanhoe,Pandro S. Berman
Moulin Rouge,John and James Woolf
The Quiet Man,John Ford and Merian C. Cooper
From Here to Eternity,Buddy Adler
Julius Caesar,John Houseman
The Robe,Frank Ross
Roman Holiday,William Wyler
Shane,George Stevens
On the Waterfront,Sam Spiegel
The Caine Mutiny,Stanley Kramer
The Country Girl,William Perlberg
Seven Brides for Seven Brothers,Jack Cummings
Three Coins in the Fountain,Sol C. Siegel
Marty,Harold Hecht
Love Is a Many-Splendored Thing,Buddy Adler
Mister Roberts,Leland Hayward
Picnic,Fred Kohlmar
The Rose Tattoo,Hal B. Wallis
Around the World in 80 Days,Michael Todd
Friendly Persuasion,William Wyler
Giant,George Stevens and Henry Ginsberg
The King and I,Charles Brackett
The Ten Commandments,Cecil B. DeMille
The Bridge on the River Kwai,Sam Spiegel
12 Angry Men,Henry Fonda and Reginald Rose
Peyton Place,Jerry Wald
Sayonara,William Goetz
Witness for the Prosecution,Arthur Hornblow Jr.
Gigi,Arthur Freed
Auntie Mame,Jack L. Warner
Cat on a Hot Tin Roof,Lawrence Weingarten
The Defiant Ones,Stanley Kramer
Separate Tables,Harold Hecht
Ben-Hur,Sam Zimbalist
Anatomy of a Murder,Otto Preminger
The Diary of Anne Frank,George Stevens
The Nun's Story,Henry Blanke
Room at the Top,John and James Woolf
The Apartment,Billy Wilder
The Alamo,John Wayne
Elmer Gantry,Bernard Smith
Sons and Lovers,Jerry Wald
The Sundowners,Fred Zinnemann
West Side Story,Robert Wise
Fanny,Joshua Logan
The Guns of Navarone,Carl Foreman
The Hustler,Robert Rossen
Judgment at Nuremberg,Stanley Kramer
Lawrence of Arabia,Sam Spiegel
The Longest Day,Darryl F. Zanuck
The Music Man,Morton DaCosta
Mutiny on the Bounty,Aaron Rosenberg
To Kill a Mockingbird,Alan J. Pakula
Tom Jones,Tony Richardson
America America,Elia Kazan
Cleopatra,Walter Wanger
How the West Was Won,Bernard Smith
Lilies of the Field,Ralph Nelson
My Fair Lady,Jack L. Warner
Becket,Hal B. Wallis
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick
Mary Poppins,Walt Disney and Bill Walsh
Zorba the Greek,Michael Cacoyannis
The Sound of Music,Robert Wise
Darling,Joseph Janni
Doctor Zhivago,Carlo Ponti
Ship of Fools,Stanley Kramer
A Thousand Clowns,Fred Coe
A Man for All Seasons,Fred Zinnemann
Alfie,Lewis Gilbert
"The Russians Are Coming, the Russians Are Coming",Norman Jewison
The Sand Pebbles,Robert Wise
Who's Afraid of Virginia Woolf?,Ernest Lehman
In the Heat of the Night,Walter Mirisch
Bonnie and Clyde,Warren Beatty
Doctor Dolittle,Arthur P. Jacobs
The Graduate,Lawrence Turman
Guess Who's Coming to Dinner,Stanley Kramer
Oliver!,John Woolf
Funny Girl,Ray Stark
The Lion in Winter,Martin Poll
"Rachel, Rachel",Paul Newman
Romeo and Juliet,Anthony Havelock-Allan and John Brabourne
Midnight Cowboy,Jerome Hellman
Anne of the Thousand Days,Hal B. Wallis
Butch Cassidy and the Sundance Kid,John Foreman
"Hello, Dolly!",Ernest Lehman
Z,Jacques Perrin and Ahmed Rachedi
Patton,Frank McCarthy
Airport,Ross Hunter
Five Easy Pieces,Bob Rafelson and Richard Wechsler
Love Story,Howard G. Minsky
M*A*S*H,Ingo Preminger
The French Connection,Philip D'Antoni
A Clockwork Orange,Stanley Kubrick
Fiddler on the Roof,Norman Jewison
The Last Picture Show,Stephen J. Friedman
Nicholas and Alexandra,Sam Spiegel
The Godfather,Albert S. Ruddy
Cabaret,Cy Feuer
Deliverance,John Boorman
The Emigrants,Bengt Forslund
Sounder,Robert B. Radnitz
The Sting,"Tony Bill, Michael Phillips, and Julia Phillips"
American Graffiti,Francis Ford Coppola and Gary Kurtz
Cries and Whispers,Ingmar Bergman
The Exorcist,William Peter Blatty
A Touch of Class,Melvin Frank
The Godfather Part II,"Francis Ford Coppola, Gray Frederickson, and Fred Roos"
Chinatown,Robert Evans
The Conversation,Francis Ford Coppola
Lenny,Marvin Worth
The Towering Inferno,Irwin Allen
One Flew Over the Cuckoo's Nest,Michael Douglas and Saul Zaentz
Barry Lyndon,Stanley Kubrick
Dog Day Afternoon,Martin Bregman and Martin Elfand
Jaws,Richard D. Zanuck and David Brown
Nashville,Robert Altman
Rocky,Irwin Winkler and Robert Chartoff
All the President's Men,Walter Coblenz
Bound for Glory,Robert F. Blumofe and Harold Leventhal
Network,Howard Gottfried
Taxi Driver,Michael Phillips and Julia Phillips
Annie Hall,Charles H. Joffe
The Goodbye Girl,Ray Stark
Julia,Richard Roth
Star Wars,Gary Kurtz
The Turning Point,Herbert Ross and Arthur Laurents
The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino, and John Peverall"
Coming Home,Jerome Hellman
Heaven Can Wait,Warren Beatty
Midnight Express,Alan Marshall and David Puttnam
An Unmarried Woman,Paul Mazursky and Anthony Ray
Kramer vs. Kramer,Stanley R. Jaffe
All That Jazz,Robert Alan Aurthur
Apocalypse Now,"Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg"
Breaking Away,Peter Yates
Norma Rae,Tamara Asseyev and Alex Rose
Ordinary People,Ronald L. Schwary
Coal Miner's Daughter,Bernard Schwartz
The Elephant Man,Jonathan Sanger
Raging Bull,Irwin Winkler and Robert Chartoff
Tess,Claude Berri and Timothy Burrill
Chariots of Fire,David Puttnam
Atlantic City,Denis Héroux
On Golden Pond,Bruce Gilbert
Raiders of the Lost Ark,Frank Marshall
Reds,Warren Beatty
Gandhi,Richard Attenborough
E.T. the Extra-Terrestrial,Steven Spielberg and Kathleen Kennedy
Missing,Edward Lewis and Mildred Lewis
Tootsie,Sydney Pollack and Dick Richards
The Verdict,Richard D. Zanuck and David Brown
Terms of Endearment,James L. Brooks
The Big Chill,Michael Shamberg
The Dresser,Peter Yates
The Right Stuff,Irwin Winkler and Robert Chartoff
Tender Mercies,Philip S. Hobel
Amadeus,Saul Zaentz
The Killing Fields,David Puttnam
A Passage to India,John Brabourne and Richard Goodwin
Places in the Heart,Arlene Donovan
A Soldier's Story,"Norman Jewison, Ronald L. Schwary, and Patrick J. Palmer"
Out of Africa,Sydney Pollack
The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones"
Kiss of the Spider Woman,David Weisman
Prizzi's Honor,John Foreman
Witness,Edward S. Feldman
Platoon,Arnold Kopelson
Children of a Lesser God,Burt Sugarman and Patrick J. Palmer
Hannah and Her Sisters,Robert Greenhut
The Mission,Fernando Ghia and David Puttnam
A Room with a View,Ismail Merchant
The Last Emperor,Jeremy Thomas
Broadcast News,James L. Brooks
Fatal Attraction,Stanley R. Jaffe and Sherry Lansing
Hope and Glory,John Boorman
Moonstruck,Patrick J. Palmer and Norman Jewison
Rain Man,Mark Johnson
The Accidental Tourist,"Lawrence Kasdan, Charles Okun, and Michael Grillo"
Dangerous Liaisons,Norma Heyman and Hank Moonjean
Mississippi Burning,Frederick Zollo and Robert F. Colesberry
Working Girl,Douglas Wick
Driving Miss Daisy,Richard D. Zanuck and Lili Fini Zanuck
Born on the Fourth of July,A. Kitman Ho and Oliver Stone
Dead Poets Society,"Steven Haft, Paul Junger Witt, and Tony Thomas"
Field of Dreams,Lawrence Gordon and Charles Gordon
My Left Foot,Noel Pearson
Dances With Wolves,Jim Wilson and Kevin Costner
Awakenings,Walter F. Parkes and Lawrence Lasker
Ghost,Lisa Weinstein
The Godfather Part III,Francis Ford Coppola
Goodfellas,Irwin Winkler
The Silence of the Lambs,"Edward Saxon, Kenneth Utt, and Ron Bozman"
Beauty and the Beast,Don Hahn
Bugsy,"Mark Johnson, Barry Levinson and Warren Beatty"
JFK,A. Kitman Ho and Oliver Stone
The Prince of Tides,Barbra Streisand and Andrew Karsch
Unforgiven,Clint Eastwood
The Crying Game,Stephen Woolley
A Few Good Men,"David Brown, Rob Reiner, and Andrew Scheinman"
Howards End,Ismail Merchant
Scent of a Woman,Martin Brest
Schindler's List,"Steven Spielberg, Gerald R. Molen, and Branko Lustig"
The Fugitive,Arnold Kopelson
In the Name of the Father,Jim Sheridan
The Piano,Jan Chapman
The Remains of the Day,"Mike Nichols, John Calley, and Ismail Merchant"
Forrest Gump,"Wendy Finerman, Steve Tisch, and Steve Starkey"
Four Weddings and a Funeral,Duncan Kenworthy
Pulp Fiction,Lawrence Bender
Quiz Show,"Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford"
The Shawshank Redemption,Niki Marvin
Braveheart,"Mel Gibson, Alan Ladd Jr., and Bruce Davey"
Apollo 13,Brian Grazer
Babe,"Bill Miller, George Miller, and Doug Mitchell"
Il Postino: The Postman,"Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele"
Sense and Sensibility,Lindsay Doran
The English Patient,Saul Zaentz
Fargo,Ethan Coen
Jerry Maguire,"James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe"
Secrets & Lies,Simon Channing Williams
Shine,Jane Scott
Titanic,James Cameron and Jon Landau
As Good as It Gets,"James L. Brooks, Bridget Johnson, and Kristi Zea"
The Full Monty,Uberto Pasolini
Good Will Hunting,Lawrence Bender
L.A. Confidential,"Curtis Hanson, Arnon Milchan, and Michael Nathanson"
Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman"
Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan"
Life Is Beautiful,Elda Ferri and Gianluigi Braschi
Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn"
The Thin Red Line,"Robert Michael Geisler, John Roberdeau, and Grant Hill"
American Beauty,Bruce Cohen and Dan Jinks
The Cider House Rules,Richard N. Gladstein
The Green Mile,Frank Darabont and David Valdes
The Insider,Pieter Jan Brugge and Michael Mann
The Sixth Sense,"Frank Marshall, Kathleen Kennedy, and Barry Mendel"
Gladiator,"Douglas Wick, David Franzoni, and Branko Lustig"
Chocolat,"David Brown, Kit Golden, and Leslie Holleran"
"Crouching Tiger, Hidden Dragon","William Kong, Hsu Li-kong, and Ang Lee"
Erin Brockovich,"Danny DeVito, Michael Shamberg, and Stacey Sher"
Traffic,"Edward Zwick, Marshall Herskovitz, and Laura Bickford"
A Beautiful Mind,Brian Grazer and Ron Howard
Gosford Park,"Robert Altman, Bob Balaban, and David Levy"
In the Bedroom,"Graham Leader, Ross Katz, and Todd Field"
The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh, and Barrie M. Osborne"
Moulin Rouge!,"Martin Brown, Baz Luhrmann, and Fred Baron"
Chicago,Martin Richards
Gangs of New York,Alberto Grimaldi and Harvey Weinstein
The Hours,Scott Rudin and Robert Fox
The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh, and Peter Jackson"
The Pianist,"Roman Polanski, Robert Benmussa, and Alain Sarde"
The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson, and Fran Walsh"
Lost in Translation,Ross Katz and Sofia Coppola
Master and Commander: The Far Side of the World,"Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson"
Mystic River,"Robert Lorenz, Judie G. Hoyt, and Clint Eastwood"
Seabiscuit,"Kathleen Kennedy, Frank Marshall, and Gary Ross"
Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg"
The Aviator,Michael Mann and Graham King
Finding Neverland,Richard N. Gladstein and Nellie Bellflower
Ray,"Taylor Hackford, Stuart Benjamin, and Howard Baldwin"
Sideways,Michael London
Crash,Paul Haggis and Cathy Schulman
Brokeback Mountain,Diana Ossana and James Schamus
Capote,"Caroline Baron, William Vince, and Michael Ohoven"
"Good Night, and Good Luck",Grant Heslov
Munich,"Steven Spielberg, Kathleen Kennedy, and Barry Mendel"
The Departed,Graham King
Babel,"Alejandro González Iñárritu, Steve Golin, and Jon Kilik"
Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg, and Robert Lorenz"
Little Miss Sunshine,"David T. Friendly, Peter Saraf, and Marc Turtletaub"
The Queen,"Andy Harries, Christine Langan, and Tracey Seaward"
No Country for Old Men,"Scott Rudin, Joel Coen, and Ethan Coen"
Atonement,"Tim Bevan, Eric Fellner, and Paul Webster"
Juno,"Lianne Halfon, Mason Novick, and Russell Smith"
Michael Clayton,"Jennifer Fox, Kerry Orent, and Sydney Pollack"
There Will Be Blood,"Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar"
Slumdog Millionaire,Christian Colson
The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall, and Ceán Chaffin"
Frost/Nixon,"Ron Howard, Brian Grazer, and Eric Fellner"
Milk,Bruce Cohen and Dan Jinks
The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris"
The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro"
Avatar,James Cameron and Jon Landau
The Blind Side,"Gil Netter, Andrew Kosove, and Broderick Johnson"
District 9,Peter Jackson and Carolynne Cunningham
An Education,Finola Dwyer and Amanda Posey
Inglourious Basterds,Lawrence Bender
"Precious: Based on the Novel ""Push"" by Sapphire","Lee Daniels, Sarah Siegel-Magness, and Gary Magness"
A Serious Man,Joel Coen and Ethan Coen
Up,Jonas Rivera
Up in the Air,"Daniel Dubiecki, Ivan Reitman, and Jason Reitman"
The King's Speech,"Iain Canning, Emile Sherman, and Gareth Unwin"
Black Swan,"Scott Franklin, Mike Medavoy, and Brian Oliver"
The Fighter,"David Hoberman, Todd Lieberman, and Mark Wahlberg"
Inception,Christopher Nolan and Emma Thomas
The Kids Are All Right,"Gary Gilbert, Jeff Levy-Hinte, and Celine Rattray"
127 Hours,"Danny Boyle, John Smithson, and Christian Colson"
The Social Network,"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin"
Toy Story 3,Darla K. Anderson
True Grit,"Joel Coen, Ethan Coen, and Scott Rudin"
Winter's Bone,Alix Madigan and Anne Rosellini
The Artist,Thomas Langmann
The Descendants,"Jim Burke, Alexander Payne, and Jim Taylor"
Extremely Loud & Incredibly Close,Scott Rudin
The Help,"Brunson Green, Chris Columbus, and Michael Barnathan"
Hugo,Graham King and Martin Scorsese
Midnight in Paris,Letty Aronson and Stephen Tenenbaum
Moneyball,"Michael De Luca, Rachael Horovitz, and Brad Pitt"
The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill"
War Horse,Steven Spielberg and Kathleen Kennedy
Argo,"Grant Heslov, Ben Affleck, and George Clooney"
Amour,"Margaret Ménégoz, Stefan Arndt, Veit Heiduschka, and Michael Katz"
Beasts of the Southern Wild,"Dan Janvey, Josh Penn, and Michael Gottwald"
Django Unchained,"Stacey Sher, Reginald Hudlin, and Pilar Savone"
Life of Pi,"Gil Netter, Ang Lee, and David Womark"
Lincoln,Steven Spielberg and Kathleen Kennedy
Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh"
Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon"
Zero Dark Thirty,"Mark Boal, Kathryn Bigelow, and Megan Ellison"
12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas"
American Hustle,"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon"
Captain Phillips,"Scott Rudin, Dana Brunetti, and Michael De Luca"
Dallas Buyers Club,Robbie Brenner and Rachel Winter
Gravity,Alfonso Cuarón and David Heyman
Her,"Megan Ellison, Spike Jonze, and Vincent Landay"
Nebraska,Albert Berger and Ron Yerxa
Philomena,"Gabrielle Tana, Steve Coogan, and Tracey Seaward"
The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff"
Birdman or (The Unexpected Virtue of Ignorance),"Alejandro González Iñárritu, John Lesher, and James W. Skotchdopole"
American Sniper,"Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan"
Boyhood,Richard Linklater and Cathleen Sutherland
The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven Rales, and Jeremy Dawson"
The Imitation Game,"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman"
Selma,"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner"
The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten"
Whiplash,"Jason Blum, Helen Estabrook, and David Lancaster"
Spotlight,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar"
The Big Short,"Dede Gardner, Jeremy Kleiner, and Brad Pitt"
Bridge of Spies,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger"
Brooklyn,Finola Dwyer and Amanda Posey
Mad Max: Fury Road,Doug Mitchell and George Miller
The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam"
The Revenant,"Arnon Milchan, Steve Golin, Alejandro González Iñárritu, Mary Parent, and Keith Redmon"
Room,Ed Guiney
Moonlight,"Adele Romanski, Dede Gardner, and Jeremy Kleiner"
Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde"
Fences,"Scott Rudin, Denzel Washington, and Todd Black"
Hacksaw Ridge,Bill Mechanic and David Permut
Hell or High Water,Carla Hacken and Julie Yorn
Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi"
La La Land,"Fred Berger, Jordan Horowitz, and Marc Platt"
Lion,"Emile Sherman, Iain Canning, and Angie Fielder"
Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh"
The Shape of Water,Guillermo del Toro and J. Miles Dale
Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito"
Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski"
Dunkirk,Emma Thomas and Christopher Nolan
Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele"
Lady Bird,"Scott Rudin, Eli Bush, and Evelyn O'Neill"
Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi"
The Post,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger"
"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Peter Czernin, and Martin McDonagh"
Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga"
Black Panther,Kevin Feige
BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee"
Bohemian Rhapsody,Graham King
The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos"
